Left
35.46	75.3	529.32	-11.22	-0.26	-3.06
35.98	75.34	530.8	-10.97	-0.17	-3.05
36.39	75.53	530.62	-11.57	0.1	-3.09
36.32	76.3	530.94	-11.68	0.39	-3.21
36.14	76.34	529.47	-11.79	0.49	-3.4
36.47	76.52	531.4	-12.18	0.7	-3.49
36.16	76.53	530.23	-11.96	0.71	-3.71
36.02	76.87	531.13	-11.79	0.8	-3.73
35.83	77.08	531.03	-11.68	0.91	-3.7
35.74	77.7	532.03	-11.68	0.89	-3.68
35.53	77.66	529.36	-11.37	0.95	-3.78
35.86	78.72	531.35	-11.4	1.02	-3.69
35.8	79.24	532.47	-11.3	0.91	-3.67
35.68	80.18	533.15	-11.28	1.12	-3.7
35.57	80.31	532.9	-11.18	1.11	-3.65
35.47	80.27	532.97	-11.32	1.22	-3.71
35.18	80.39	533.19	-11.37	1.38	-3.71
35.16	80.71	533.45	-11.26	1.28	-3.7
35.12	80.52	533.7	-11.5	1.38	-3.74
35.04	79.89	533.03	-11.7	1.36	-3.76
34.93	79.81	532.85	-11.55	1.39	-3.78
34.91	79.67	532.83	-11.63	1.36	-3.74
34.86	79.21	531.92	-11.49	1.52	-3.75
34.68	78.81	533.55	-11.63	1.64	-3.65
34.39	78.56	532.16	-11.31	1.56	-3.71
34.02	78.05	532.69	-11.48	1.76	-3.8
33.86	77.64	532.5	-11.37	1.94	-3.76
33.72	77.47	531.73	-11.1	1.9	-3.86
33.65	77.04	531.86	-11.1	1.84	-3.82
33.56	76.79	531.71	-11.23	1.95	-3.83
33.57	76.81	532.21	-11.05	1.91	-3.86
33.52	76.69	531.42	-11.04	1.89	-3.86
33.51	76.27	531.74	-10.84	1.89	-3.76
33.51	76.18	531.69	-10.75	1.94	-3.84
33.58	76.11	531.61	-11.0	2.0	-3.79
33.55	76.15	531.82	-11.0	2.02	-3.86
33.46	75.94	531.19	-10.9	2.11	-3.88
33.34	76.09	531.86	-11.06	2.1	-3.92
33.07	75.48	531.25	-10.76	2.09	-3.93
33.23	75.27	531.03	-10.65	2.07	-3.87
33.3	75.21	530.79	-10.77	1.93	-3.89
33.27	75.16	532.32	-10.75	2.21	-3.89
33.22	75.0	531.05	-10.42	2.1	-3.89
33.21	75.28	530.88	-10.42	2.03	-3.83
33.29	75.14	531.4	-11.01	2.1	-3.85
33.27	74.72	530.92	-10.51	1.96	-3.78
32.98	75.23	530.6	-10.34	1.96	-3.8
32.88	75.33	530.7	-10.39	1.88	-3.94
32.86	75.37	532.52	-10.66	1.97	-3.97
32.85	75.28	530.51	-10.71	2.03	-3.98
32.88	75.63	530.6	-10.64	1.96	-3.91
32.75	75.75	530.94	-10.95	1.88	-3.92
32.64	76.14	533.43	-11.25	1.93	-3.95
32.42	76.25	531.43	-10.95	1.92	-4.03
32.31	76.24	531.15	-10.86	1.98	-3.96
32.33	76.42	530.65	-10.91	1.95	-3.98
32.48	77.04	531.21	-10.73	1.93	-4.01
32.49	77.63	531.26	-10.75	1.78	-3.96
32.57	77.58	531.69	-10.85	2.05	-3.87
32.48	77.46	530.73	-10.71	2.08	-3.72
32.26	77.69	529.69	-10.35	1.93	-3.8
32.31	78.2	530.65	-10.44	1.91	-3.73
32.34	78.65	530.39	-9.82	1.91	-3.81
32.44	79.05	531.75	-10.08	2.02	-3.7
32.38	79.22	531.2	-10.08	1.96	-3.75
32.39	79.32	531.48	-9.89	1.8	-3.74
32.33	79.16	531.19	-9.97	1.87	-3.7
32.25	79.05	531.41	-10.35	1.83	-3.7
32.17	78.84	531.16	-10.36	1.86	-3.77
32.23	78.61	531.58	-10.36	1.98	-3.66
32.06	78.37	530.01	-10.16	1.8	-3.74
32.2	78.55	531.8	-10.52	1.91	-3.76
31.94	76.99	527.29	-10.49	1.83	-3.54
32.01	76.55	525.88	-10.47	1.84	-3.51
32.15	76.37	524.99	-10.22	1.69	-3.53
32.05	76.31	524.66	-10.12	1.76	-3.46
32.01	75.51	524.55	-10.26	1.58	-3.45
31.79	75.19	523.84	-9.86	1.52	-3.4
31.26	75.44	524.76	-10.02	1.58	-3.36
30.87	75.16	524.5	-9.95	1.51	-3.41
31.23	75.9	528.52	-10.25	1.38	-3.36
31.41	77.62	535.16	-11.15	1.37	-3.45
31.14	75.97	531.54	-11.11	1.69	-3.9
31.19	75.22	528.57	-10.63	1.9	-3.93
30.89	75.13	525.37	-10.5	2.18	-3.94
31.15	75.15	527.09	-10.67	2.16	-3.82
30.94	74.39	525.67	-10.4	2.19	-3.74
30.28	73.73	525.55	-10.31	2.1	-3.83
30.35	73.55	524.81	-10.27	2.18	-3.87
29.98	73.16	522.11	-9.86	2.13	-3.93
30.1	73.34	523.15	-9.8	2.2	-4.0
29.94	72.86	522.57	-10.18	2.19	-3.99
29.99	73.13	522.36	-9.77	2.22	-4.04
30.01	72.85	522.46	-10.02	2.21	-3.99
29.96	72.31	522.1	-10.0	2.08	-3.93
29.69	72.41	521.08	-9.57	2.04	-3.98
29.46	72.9	521.37	-9.34	2.07	-4.02
29.26	73.34	520.59	-9.4	2.02	-4.13
30.08	74.05	521.77	-9.5	2.12	-4.1
31.33	70.93	522.6	-10.31	2.1	-3.9
32.77	74.57	529.63	-7.36	1.35	-2.16
32.66	74.57	529.6	-7.56	1.25	-2.17
32.66	74.31	530.29	-7.55	1.3	-2.22
32.58	74.14	530.07	-7.37	1.21	-2.18
32.73	73.65	529.13	-7.16	1.31	-2.12
32.71	73.55	528.47	-7.19	1.28	-2.16
32.74	73.73	529.74	-6.99	1.33	-2.12
32.51	73.56	528.25	-6.95	1.21	-2.1
32.64	73.89	529.74	-7.1	1.37	-2.15
32.47	73.53	528.47	-7.08	1.34	-2.09
32.56	73.63	529.77	-7.23	1.35	-2.14
32.53	73.41	528.66	-6.81	1.35	-2.12
32.54	73.59	529.65	-6.96	1.3	-2.17
32.66	73.42	529.72	-6.97	1.48	-2.22
32.63	73.37	530.13	-6.94	1.3	-2.1
32.6	73.28	529.31	-6.88	1.27	-2.1
32.46	73.13	527.6	-6.78	1.26	-2.1
32.5	73.38	528.4	-6.83	1.31	-2.12
32.56	73.52	529.22	-6.8	1.26	-2.15
32.49	73.56	528.21	-6.73	1.36	-2.16
32.54	74.33	530.11	-6.97	1.34	-2.19
32.61	74.57	530.09	-6.84	1.23	-2.2
32.65	74.65	530.87	-6.89	1.42	-2.14
32.57	74.57	528.88	-7.09	1.42	-2.18
32.74	75.09	529.16	-6.91	1.35	-2.13
32.91	75.51	530.79	-6.93	1.27	-2.13
32.89	75.7	529.72	-6.77	1.3	-2.25
32.94	76.5	530.64	-6.91	1.31	-2.23
32.85	77.34	530.64	-6.93	1.33	-2.17
32.87	77.38	529.38	-7.23	1.41	-2.16
32.85	77.61	530.18	-7.39	1.36	-2.18
32.86	78.28	530.25	-7.42	1.39	-2.18
32.92	77.86	530.08	-7.61	1.26	-2.02
33.01	77.83	530.35	-7.28	1.45	-2.1
33.23	77.76	530.47	-7.4	1.46	-2.15
33.35	77.72	530.92	-7.31	1.33	-2.16
33.37	77.72	530.26	-7.79	1.52	-2.19
33.39	77.77	531.07	-7.71	1.41	-2.22
33.28	77.19	530.91	-7.59	1.49	-2.32
33.15	76.97	530.29	-7.41	1.57	-2.25
33.05	76.79	530.62	-7.59	1.61	-2.31
33.0	76.45	530.14	-7.53	1.48	-2.25
33.1	76.34	530.33	-7.55	1.54	-2.39
33.18	75.89	530.04	-7.55	1.47	-2.25
33.32	75.21	529.24	-7.35	1.49	-2.11
33.29	74.96	529.81	-7.37	1.52	-2.09
33.16	74.6	527.61	-7.3	1.37	-2.12
33.19	74.56	529.45	-7.3	1.39	-1.99
33.18	74.33	529.1	-7.23	1.38	-1.99
33.26	74.22	529.37	-6.83	1.42	-1.94
33.27	73.99	528.98	-6.85	1.37	-1.97
33.22	74.06	529.85	-6.93	1.43	-1.93
33.24	74.07	529.1	-6.7	1.4	-1.91
33.24	73.82	529.04	-6.7	1.43	-1.96
32.98	73.83	528.84	-6.77	1.22	-2.01
33.03	73.8	528.78	-6.84	1.32	-2.05
32.99	73.73	529.08	-6.87	1.27	-1.99
